@relation play_store_comments
@attribute ps_class {mauvais, neutre, bien}
@attribute text String
@data
neutre, ' bug de lancement dès que je lance l\' application ça marche pas help sinon j\' adore cyprien faite un maj ( Wiko Rainbow ) tchous bon couscous '
bien, ' Application très bien Application magnifique '
bien, ' Cool Vraiment cool comme appli , apres ya pareil pr . SQUEEZIE '
mauvais, ' Buggg Je suis a 95 % de l\' installation et ca se stop vite MAJ sinon je aimee cyprien et cyprken gaming '
bien, ' Cool Cool mais j\' arrive pas à prendre de photos sinon trop génial ! ! ! = ) '
bien, ' Cool Super vraiment cool j ai decouvert c est apli sur youtube '
bien, ' super cool j\' adore cool cool cool cool '
mauvais, ' trop cool ce jouet vraiment génial franchement je pourrai pas m\' en passer cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool c\' est génial . '
bien, ' C\' est trop bon ... . . J\' adore cette app , no bug no pub ! : D merci cyprien , je suis un gros fan de toi . continue comme cela ; - ) '
bien, ' Super Ermer de regarder toute les video de cyprien instantanement c\' est super , aucun beug sur ma tablette '
bien, ' J\' ai adoré mais ... J\' ai cette app depuis longtemps et depuis la dernière maj je l\' ai pourtant télécharger mais il me dit l\' app n\' est pas installé WHAT ? Donc ai désinstaller puis réinstaller et maintenant il mets 3 plombes a charger(sans succès ) . De toute façon je t\' adore Cyprien ! Mais j\' espère quand même que vs allez régler ce blème et vite ! Je reverrais ma note une fois que ceci sera fait . '
mauvais, ' Bug Des que le veux lencer l\' appli \' ca ne marche pas help me pease ! ! ! Sinon moi j\' adore cyprien et squeezie il so t trop bien surtut squeezie je vous le comselle fortement il commente des jeux pendant qu\' il y joue : ) ¡ hola ! '
bien, ' Sympas Au début il y a un beug , fermer l appli et lancez la 2 ou 3 fois et puis fermez l application . On a tout les videos de Cyprien et c est plus rapide je sur YouTube ; ) vraiment cool '
mauvais, ' Bug de Play Store ? J\' aimerai beaucoup telecharger cette application et bien d\' autres mais depuis quelques temps mon play store m\' annonce que je ne peux pas en telecharger car je n\' ai plus d\' espace disponible sur mon portable alors que j\' ai encore 200 mo . Help '
mauvais, ' Sa ne s\' ouvre pas Je suis vraime t déçue je suis vraiment fan de Cyprien masi l\' aplos de daigne même pas s\' ouvrire alors vite une MAJ '
bien, ' Cool Cool '
bien, ' Cool Cool '
bien, ' Cool Cool '
bien, ' Cool Cool '
mauvais, ' BUG de play store Ben mon frere sa marche mais il a un apple alors what ! Sa ne marche pas mais j\' adore cyprien '
bien, ' Trop cool J\' aime trrop t video pour info le swag sa se mange pas cyprien '
bien, ' Cool Cool surtt cyprien gaming '
bien, ' Bug De Lancement Il Faudrait Faire Une MAJ Car Beaucoup De Personnes On Des Bug Comme Moi ( Quand On Lance L\' applications L\' écran Est Blanc Avec Noté " Cyprien " , Donc Faut Une Nouvelle MAJ ? '
bien, ' Cool Coooooooooooooooooooooooooooooooooooooooooooooooooooool ! ! ! ! ! ! ! ! '
bien, ' Cool Cooooool '
bien, ' Des que je la met elle ne s\' ouvre pas trop la mort mais je mets 4 étoile car sa doit être une très bonne appli '
bien, ' Samsung galaxy s5 Ses trop cool se jeux j\' adore cyprien jai deja fait un ty chert narmol ses trop cool instaler cette aplis '
bien, ' A Cyprien Merci bcp d avoir créé cette appli grâce à toi je peux voir tt tes vidéo c trop cool jtd '
bien, ' cool les video cool tes video '
bien, ' avant je regarde sur youtube mais la sait plus pratique on a pas besoin d aller regarder tous les jour youtube pour voir si il a fait des nouvdlle video sa l afiche sur le tel des qu un video sort '
neutre, ' Bof Marche Pas au lancement . Sa reste blanc . Faites qqch svp . Snn j\' adore cyprien '
mauvais, ' Je mais un étoile parce que sa ne marche pas sa m\' ouvre une page blanche avec o coin l\' icône de Cyprien . Si non sa orai du être une super apps . ( Wiko ozzy . ) '
bien, ' Génial ! ! ! Cyprien t\' as un don pour faire rire les gens ou quoi ? ! XD '
bien, ' Vidéo Je ne comprend pas comment on fait pour jouer avec ses vidéos . A part ça c est super . Quelque peut m aider ? ? ? '
neutre, ' Bugs L\' application ne s\' ouvre pas quand on veut l\' ouvrir . La page reste blanche puis se ferme . '
bien, ' Oua c genial Je aime grave car j\' adore cyprien et j\' aimefai lui poser un question : est ce que tu connais squeezie ( ca c oui c sur ) norman kihouu tal blackm ... . '
bien, ' Très bonne appli J\' adore cette application de Cyprien , aucun bug , la présentation est claire , à chaque qu\' une nouvelle vidéo est publiée je suis informé par une notification . Je conseille fortement cette application aux fans de Cyprien . '
mauvais, ' Probleme d\' icone Depuis que j\' ais installer la nouvelle maj 1.20 l\' icone de l\' application a disparu mais sinon avant d\' avoir installer la maj l\' application eteait tres bonne '
mauvais, ' Bug Moi aussi il y a un beug , ca ne veut pas s\' ouvrir . Mais moi aussi j\' adore Cyprien ! '
bien, ' Bug Des que je lance l\' application il bug mais je l\' ai sur mon iPod est c\' est très bien ! '
bien, ' Juste un truc Je ne peux mettre 5 pour une chose lorsque je quitte la page sous Android et que j\' y retourne 30 sec après rien n\' est en mémoire je dois me reconnecter et remettre mes matchs à chaque fois ... bref je perds tout c bien relou ! Mais j\' aime bien lappli sinon juste le côté pratique ou j\' ai un peu de mal : -/ désolé , une correction à cela nan ? ? ? '
mauvais, ' Passe à côté de son objectif Une app Betclic , c\' est censé permettre de parier sur les matches ! Surtout qu\' ils en font la pub à la TV avant les matches ! Le site mobile de Betclic est pourrave , j\' ai raté de gros gains à cause de son fonctionnement , et aussi en me faisant avoir par l\' intérêt inexistant de cette application trompeuse . Bref , ne sert à rien en l\' état . '
mauvais, ' ien le désert ! ! ! ! ! Il n y a rien ou est l option coupe du monde ? ? ? ? '
bien, ' J aipe le football Mon joueur préféré ces Lionel Messi '
bien, ' \' aime betclic c\' est pour cela je me cinq étoiles '
mauvais, ' Belgique absente ! Impossible de s\' inscrire si vous êtes né en Belgique , absente dans la liste ... Ridicule ! '
bien, ' énial pour suivre la Coupe du Monde ! '
bien, ' apiti cool '
bien, ' Testé & satisfait Testé & satisfait : no comment '
bien, ' rès bonne app . J\' adore ! '
bien, ' Super Ce qui me manqait pour reussir les paris , coool . '
bien, ' Avec betclic live je suis tous mes resultats en directe sur mon smart . Je maintenent heureux car j\' ai l\' appli betclic et cela me facilite la tache '
bien, ' agnifique , je tout les informations ! ! '
bien, ' a bon '
bien, ' J\' ai adoré . J\' ai adoré . '
bien, ' trop coool '
bien, ' top Trop sympa ! ! ! '
bien, ' ai pa mal '
neutre, ' ui bof '
bien, ' out caler '
bien, ' ul '
bien, ' aime '
mauvais, ' Impossible de s\' inscrire Il y a plus d\' 1 âne qui s\' appelle Martin , quand je m\' inscris avec mon nom on me répond que le nom existe déjà lol ben oui je ne suis pas unique ! ! ! '
mauvais, ' as du tout pratique , on ne peux pas effectuer de recherche et la présentation n\' est pas non plus exceptionnelle. . '
neutre, ' BetClic , faites quelque chose ! Je dis ça pour vous mais c\' est valable pour toute les applis de paris . Je trouve ça dingue qu\' il n\' y ait aucune applis qui permet de parier en ligne sur Android , alors que sur Apple , il y en a minimum 4. . Allez BetClic , faites nous rêver ! '
mauvais, ' A revoir Pas du tout ergonomique et impossible de parier avec cette application . '
neutre, ' Pas mal Pas mal mais ca fait pas le principal ... parier ... . '
mauvais, ' quand les paris sur mobile sous android '
mauvais, ' rancheche zéro : * ) : @ '
mauvais, ' res nul '
bien, ' erci '
bien, ' ote pour tous bet clic ( ou l ont peu parier en . live ) peu s intaller il sufit ds bet clic live de telecharger l apli ( il faut cliquer sur la pub pariez en bas et dl l appli et il faut cocher ds reglages autoriser installation source inconnu ) ENJOY . Sinon sympa . Pour les live manque plus que du streaming et ca sera top '
mauvais, ' Instable Application instable sur s3 , qui ram et fait chauffer le processeur , restez sur le pc ou aller consulter directement sur internet par mobile '
mauvais, ' Nul On ne peut pas parier avec l \' appli aucune utilité '
mauvais, ' Plus pourrie , tu meurs ! Une belle pub et puis plus rien ! Virée illico ! '
mauvais, ' Sert a rien . Cette appli n\' est pas a la hauteur de sa marque . Les côtes sont introuvables . Le parcours de l\' appli est trop rapide . Ya rien a voir . Rien a faire . Cest moche et cest pas beau . Bravo les gars ! ! ! '
mauvais, ' Elle sert à quoi cette apli ? ? ? Impossible de parier voir les côte ou se connecter ... autant rien faire ... '
bien, ' Ebook Pelerin Super installation , ai acheté un ebook chez Bayard . Suis pas déçu . '
bien, ' Ebook et PDF Reader Avec ceci , j\' ai desinstallé les autres applications reader , car j\' en ai plus besoin . Merci pour cet outil merveilleux . '
bien, ' Bien mais ... Très bonne application , quelques améliorations peuvent être néanmoins apportées au niveau et ergonomie . '
mauvais, ' Trop confus Pas intuitif ... Et ras le bol des " rate " . Donc poubelle et je deconseille . '
mauvais, ' bof de la pub , me trouve mes pdf mais pas mes epub l autre ebook reader est 100 fois mieux '
bien, ' Quel plaisir de pouvoir lire ses romans et d\' annoter , de commenter ses propres ouvrages et tout cela sans être gène par la pub ! ! Grand merci ! ! ! '
bien, ' Ok c\' est trop cool mais je ne sais pas si il peuvent surligner les mots '
bien, ' Une très bonne application C\' est le mieux que je puisse vous conseiller . Vous ne serez pas deçu \' après essai de plusieurs autres \' c est le meilleur ! ! ! '
