@relation play_store_comments
@attribute ps_class {mauvais, neutre, bien}
@attribute text String
@data
neutre, 'lancement lancer application marche adorer cyprien faire bon couscous '
bien, 'application application magnifique '
bien, 'cool cool ya '
mauvais, 'suivre|être avoir installation stop cyprien '
bien, 'cool cool arriver prendre photo génial '
bien, 'cool super cool avoir être '
bien, 'super cool cool cool cool cool '
mauvais, 'cool jouet génial pouvoir passer commentaire cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool cool être génial '
bien, 'être bon commentaire adorer pub merci cyprien suivre|être gros fan continuer '
bien, 'super regarder cyprien être super tablette '
bien, 'avoir adorer avoir dernier avoir dire être installer avoir réinstaller mettre plombe avoir succès façon adorer espérer même aller régler revoir note foi|fois être faire '
mauvais, 'vouloir marcher adorer cyprien commenter jeu jouer '
bien, 'début avoir fermer lancer foi|fois fermer application avoir être rapide cool '
mauvais, 'commentaire aimer application autre temps store annoncer pouvoir avoir espace disponible portable avoir '
mauvais, 'ouvrer|ouvrir suivre|être décevoir suivre|être fan daigner '
bien, 'cool cool '
bien, 'cool cool '
bien, 'cool cool '
bien, 'cool cool '
mauvais, 'store marche avoir marcher adorer cyprien '
bien, 'cool manger cyprien '
bien, 'cool cool cyprien '
bien, 'falloir application écran '
bien, 'cool '
bien, 'cool '
bien, 'commentaire mettre ouvrer|ouvrir mort mettre étoile doit être bon '
bien, 'trop cool jeu cyprien faire trop cool '
bien, 'merci avoir créer grâce pouvoir voir vidéo cool '
bien, 'cool cool '
bien, 'regarder savoir pratique avoir besoin aller regarder jour voir avoir faire tel sortir '
neutre, 'marche lancement reste blanc faire adorer cyprien '
mauvais, 'commentaire étoile marcher ouvrer|ouvrir page blanc coin icône être super '
bien, 'génial commentaire cyprien avoir don faire rire gens '
bien, 'vidéo comprendre faire jouer vidéo part être super pouvoir aider '
neutre, 'application ouvrer|ouvrir vouloir ouvrir page rester blanc fermer '
bien, 'grave cyprien poser question être connaître '
bien, 'bon adorer application présentation être clair nouveau vidéo être publier suivre|être informer notification conseiller application fan '
mauvais, 'icone ais installer nouveau icone application avoir disparaître avoir installer application '
mauvais, 'avoir vouloir ouvrir adorer '
bien, 'lancer application avoir être être '
bien, 'juste truc pouvoir mettre chose quitter page retourner sec rien être mémoire devoir remettre match foi|fois perdre juste côté pratique avoir mal désoler correction '
mauvais, 'passe côté objectif être censé permettre parier match faire pub match site mobile être avoir rater gros gain cause fonctionnement faire avoir intérêt inexistant application trompeur servir rien état '
mauvais, 'commentaire désert avoir être option couper monde '
bien, 'football joueur préféré '
bien, 'commentaire aimer être étoile '
mauvais, 'belgique absent commentaire impossible inscrire être naître absent liste ridicule '
bien, 'commentaire suivre '
bien, 'commentaire cool '
bien, 'tester satisfaire tester satisfaire '
bien, 'commentaire bon adorer '
bien, 'super pari '
bien, 'live suivre|être direct smart commentaire heureux avoir faciliter tache '
bien, 'commentaire information '
bien, 'commentaire avoir '
bien, 'avoir adorer commentaire avoir adorer '
bien, 'commentaire '
bien, 'top sympa '
bien, 'commentaire avoir '
neutre, 'commentaire '
bien, 'commentaire caler '
bien, 'commentaire '
bien, 'commentaire aimer '
